User_ID,Age,Gender,City_Tier,City_Name,Occupation,Monthly_Income_INR,Rent_Housing_INR,Food_Groceries_INR,Utilities_Bills_INR,Healthcare_INR,Education_Childcare_INR,Entertainment_Dining_INR,Shopping_Lifestyle_INR,Investment_INR,Discretionary_Spending_INR,Essential_Spending_INR,Total_Monthly_Expenses_INR,Monthly_Savings_INR,Savings_Rate_Pct,Discretionary_Ratio_Pct,Financial_Resilience_Score,Emergency_Fund_Months
IN_USR_00001,29,Male,Tier 2,Chandigarh,Marketing Manager,63500,14000,11000,4800,1500,800,2700,2600,14500,5300,32100,37400,26100,41.1,14.2,59,2.7
IN_USR_00002,34,Female,Tier 1,Pune,Operations Executive,101500,34000,18400,4700,3700,5800,5400,6900,9500,12300,66600,78900,22600,22.3,15.6,42,2.4
IN_USR_00003,44,Female,Tier 2,Jaipur,Sales Consultant,51500,12500,7800,3200,2700,4000,4700,3000,8500,7700,30200,37900,13600,26.4,20.3,41,1.6
IN_USR_00004,36,Female,Tier 3,Salem,Data Analyst,85000,10500,14600,4600,3000,4500,4800,6500,21500,11300,37200,48500,36500,42.9,23.3,81,9.5
IN_USR_00005,32,Male,Tier 1,Hyderabad,Operations Executive,88500,27500,12200,4700,4500,3800,7900,6200,11500,14100,52700,66800,21700,24.5,21.1,39,1.5
IN_USR_00006,58,Female,Tier 1,Hyderabad,Healthcare Worker,115000,27500,15000,8000,4800,9800,7600,6800,18000,14400,65100,79500,35500,30.9,18.1,68,7.6
IN_USR_00007,30,Female,Tier 1,Bangalore,Data Analyst,80500,24500,14800,4600,1800,900,8000,4500,15000,12500,46600,59100,21400,26.6,21.2,56,5.7
IN_USR_00008,22,Male,Tier 2,Indore,Operations Executive,85500,18500,11000,4900,3300,2400,7900,3700,18500,11600,40100,51700,33800,39.5,22.4,61,4.2
IN_USR_00009,28,Female,Tier 2,Indore,Freelancer/Consultant,97000,16000,17600,6000,5000,1500,3900,4500,17000,8400,46100,54500,42500,43.8,15.4,94,12.2
IN_USR_00010,41,Male,Tier 1,Pune,Data Analyst,70500,22000,13000,5600,2900,3400,5600,5500,5500,11100,46900,58000,12500,17.7,19.1,36,2.3
IN_USR_00011,49,Male,Tier 3,Nagpur,Marketing Manager,73000,9500,12600,4000,4100,4900,4000,2400,13000,6400,35100,41500,31500,43.2,15.4,80,8.2
IN_USR_00012,36,Male,Tier 1,Chennai,Software Engineer,155500,35500,19000,8300,6300,8800,10700,8900,36000,19600,77900,97500,58000,37.3,20.1,80,9.5
IN_USR_00013,58,Female,Tier 1,Hyderabad,Healthcare Worker,74500,17500,12800,4000,2700,6800,3200,4700,13500,7900,43800,51700,22800,30.6,15.3,48,1.9
